WOS_number,doc_type,authors,title,source,doi,publication_year,author_keywords,email
WOS:000545319300007,J,"Moya, D; Budinis, S; Giarola, S; Hawkes, A",Agent-based scenarios comparison for assessing fuel-switching investment in long-term energy transitions of the India's industry sector,APPLIED ENERGY,10.1016/j.apenergy.2020.115295,2020,Decarbonisation; Energy systems modelling; Iron and steel; Agent-based; Energy survey; Investment metrics,
WOS:000571833300006,J,"Upadhyay, A; Dey, S; Chowdhury, S; Kumar, R; Goyal, P",Tradeoffs between air pollution mitigation and meteorological response in India,SCIENTIFIC REPORTS,10.1038/s41598-020-71607-5,2020,,
WOS:000566891200001,J,"Poncin, S",Energy Policies for Eco-Friendly Households in Luxembourg: a Study Based on the LuxHEI Model,ENVIRONMENTAL MODELING & ASSESSMENT,10.1007/s10666-020-09725-7,2020,Climate targets; Energy-economic policy modeling; Energy efficiency; Emission mitigation; Residential building sector,
WOS:000568754600015,J,"Hassounah, M; Raheel, H; Alhefzi, M",Digital Response During the COVID-19 Pandemic in Saudi Arabia,JOURNAL OF MEDICAL INTERNET RESEARCH,10.2196/19338,2020,digital response; COVID-19; Saudi Arabia; digital health; containment; public health; pandemic; prevention,
WOS:000581671900001,J,"Arroya, MFR; Miguel, LJ",Low-Carbon Energy Governance: Scenarios to Accelerate the Change in the Energy Matrix in Ecuador,ENERGIES,10.3390/en13184731,2020,climate change; environmental sustainability; low-carbon energy; energy governance; energy policy; renewable energy,
WOS:000581391600001,J,"Venkatappa, M; Sasaki, N; Anantsuksomsri, S; Smith, B","Applications of the Google Earth Engine and Phenology-Based Threshold Classification Method for Mapping Forest Cover and Carbon Stock Changes in Siem Reap Province, Cambodia",REMOTE SENSING,10.3390/rs12183110,2020,Landsat-8; Landsat TM; Google Earth Engine; tropical forestry; forest carbon stocks; emission reductions; REDD plus; PBTC,
WOS:000580705000001,J,"Bunodiere, A; Lee, HS","Renewable Energy Curtailment: Prediction Using a Logic-Based Forecasting Method and Mitigation Measures in Kyushu, Japan",ENERGIES,10.3390/en13184703,2020,renewable energy; curtailment; mitigation; solar; grid interconnection; Kyushu,
WOS:000580690900001,J,"Fiorelli, M; Keles, D; Montana, F; Restifo, GL; Sanseverino, ER; Zizzo, G",Evaluation of the Administrative Phase-Out of Coal Power Plants on the Italian Electricity Market,ENERGIES,10.3390/en13184596,2020,coal phase-out; decarbonisation; generation adequacy; optimization model and simulation; price analysis; electricity price; Italy,
WOS:000580705100001,J,"Touch, T; Oeurng, C; Jiang, YN; Mokhtar, A","Integrated Modeling of Water Supply and Demand Under Climate Change Impacts and Management Options in Tributary Basin of Tonle Sap Lake, Cambodia",WATER,10.3390/w12092462,2020,integrated model; climate change; streamflow; SWAT model; WEAP model; water demand; water shortage; management option,
WOS:000579496900007,J,"Hassounah, M; Raheel, H; Alhefzi, M",Digital Response During the COVID-19 Pandemic in Saudi Arabia,JOURNAL OF MEDICAL INTERNET RESEARCH,10.2196/19338,2020,digital response; COVID-19; Saudi Arabia; digital health; containment; public health; pandemic; prevention,
WOS:000579981700001,J,"Wang, J; Zhang, Y; Wu, LB; Ma, WC; Chen, LM","CO(2)and Air Pollutants Emissions under Different Scenarios Predicted by a Regional Energy Consumption Modeling System for Shanghai, China",ATMOSPHERE,10.3390/atmos11091006,2020,energy-environment system; LAPs; CO2; TIMES model; Shanghai,
